"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
6.632991004E1,3.515341708E1,1.368877225E2,1.340054167E0,3.995445569E1,4.244622010E1,1.702878060E2,2.122785045E0,1.470335556E1,9.393197997E0,-1.000000000E0
6.732990897E1,3.515304593E1,1.368878503E2,1.896938375E0,4.051160776E1,4.251611496E1,1.728435822E2,2.168166075E0,1.478630082E1,9.262080826E0,-1.000000000E0
6.832990885E1,3.515264074E1,1.368879100E2,1.823011394E0,4.043778084E1,4.309138065E1,1.737304382E2,2.215698132E0,1.472525827E1,9.358824834E0,-1.000000000E0
6.932990837E1,3.515221637E1,1.368879728E2,1.659605657E0,4.027448058E1,4.398856329E1,1.721117096E2,2.263025028E0,1.469427871E1,9.407391060E0,-1.000000000E0
7.032990694E1,3.515179376E1,1.368880347E2,2.090672218E0,4.070565028E1,4.455410046E1,1.731442108E2,2.308418682E0,1.469111681E1,9.412328088E0,-1.000000000E0
7.132990682E1,3.515138848E1,1.368880946E2,2.264846332E0,4.087992470E1,4.452244684E1,1.729674683E2,2.352996042E0,1.465045465E1,9.475495331E0,-1.000000000E0
7.232990575E1,3.515098891E1,1.368881344E2,2.257068945E0,4.087219972E1,4.437692895E1,1.793745270E2,2.397463916E0,1.478021553E1,9.271788514E0,-1.000000000E0
7.332990551E1,3.515058906E1,1.368881430E2,2.463203888E0,4.107831205E1,4.438988136E1,1.791009216E2,2.442217407E0,1.496053608E1,8.977928135E0,-1.000000000E0
7.432990539E1,3.515018658E1,1.368881427E2,2.810876592E0,4.142594055E1,4.443627545E1,1.796747284E2,2.493868073E0,1.522940929E1,8.513866679E0,-1.000000000E0
7.532990444E1,3.514972378E1,1.368881913E2,2.865802814E0,4.148093335E1,4.580370638E1,1.765193786E2,"",1.515976693E1,8.637262291E0,-1.000000000E0
7.632990420E1,3.514929545E1,1.368881746E2,2.788387004E0,4.140343127E1,4.625754677E1,1.783258406E2,2.589607443E0,1.504958726E1,8.827839864E0,-1.000000000E0
7.732990384E1,3.514886382E1,1.368881420E2,2.935970509E0,4.155088985E1,4.677059323E1,1.800412743E2,2.635020917E0,1.498150003E1,8.942901661E0,-1.000000000E0
7.832990324E1,3.514845553E1,1.368881300E2,2.822314924E0,4.143716141E1,4.696453767E1,1.810703443E2,2.682326294E0,1.456257032E1,9.610014516E0,-1.000000000E0
7.932990265E1,3.514803105E1,1.368880952E2,2.821114415E0,4.143583176E1,4.714310070E1,1.822792711E2,2.729407895E0,1.456957631E1,9.599389533E0,-1.000000000E0
8.032990360E1,3.514761213E1,1.368880199E2,3.003400777E0,4.161789300E1,4.710679889E1,1.847286368E2,2.780739938E0,6.684870865E0,1.858340546E0,-1.000000000E0
8.132990229E1,3.514715744E1,1.368879223E2,3.037706632E0,4.165191653E1,4.808555858E1,1.868616492E2,2.828612244E0,7.080829514E0,1.803535101E0,-1.000000000E0
8.232990193E1,3.514673006E1,1.368878588E2,3.289663275E0,4.190367530E1,4.815118903E1,1.869535074E2,2.880173778E0,8.199509381E0,1.712995030E0,-1.000000000E0
8.332990241E1,3.514626965E1,1.368877913E2,3.217691075E0,4.183149251E1,4.876285122E1,1.868448542E2,2.931403642E0,8.378035841E0,1.707795921E0,-1.000000000E0
8.432990289E1,3.514581313E1,1.368877154E2,2.578251653E0,4.119182299E1,4.914074763E1,1.872678961E2,2.982890444E0,8.159790525E0,1.703343995E0,-1.000000000E0
8.532990181E1,3.514535548E1,1.368876293E2,3.709907101E0,4.232322412E1,4.940933664E1,1.876560018E2,3.033229055E0,1.497373502E1,8.955897097E0,-1.000000000E0
8.632990134E1,3.514490837E1,1.368875425E2,3.330093149E0,4.194315556E1,4.860879123E1,1.889844407E2,3.086733605E0,1.451573984E1,9.680605872E0,-1.000000000E0
8.732990289E1,3.514443313E1,1.368874503E2,4.008377688E0,4.262116981E1,4.938937527E1,1.886168739E2,3.140181906E0,1.442596693E1,9.813883603E0,-1.000000000E0
8.832990193E1,3.514395491E1,1.368873910E2,4.175760328E0,4.278836026E1,5.005857769E1,1.881885675E2,3.193889918E0,1.432244323E1,9.964359141E0,-1.000000000E0
8.932990170E1,3.514347823E1,1.368872958E2,3.525094432E0,4.213741704E1,5.075834809E1,1.885582490E2,3.245962265E0,1.428441621E1,1.001879668E1,-1.000000000E0
9.032990158E1,3.514301461E1,1.368872150E2,2.967766771E0,4.157984800E1,5.129691170E1,1.884522246E2,3.296922719E0,1.427004838E1,1.003925060E1,-1.000000000E0
9.132990134E1,3.514255988E1,1.368871451E2,2.828156109E0,4.144002329E1,5.097620315E1,1.882445873E2,3.347344096E0,1.425886586E1,1.005512693E1,-1.000000000E0
9.232990098E1,3.514211110E1,1.368870658E2,2.700732745E0,4.131236394E1,5.075925219E1,1.882545404E2,3.398544992E0,1.427007368E1,1.003921463E1,-1.000000000E0
9.332990158E1,3.514165641E1,1.368869769E2,2.314768408E0,4.092614053E1,5.074430560E1,1.884576871E2,3.449244226E0,1.428561393E1,1.001708880E1,-1.000000000E0
9.432990205E1,3.514120523E1,1.368868965E2,1.941158445E0,4.055229229E1,5.071659587E1,1.884998693E2,3.500557411E0,1.425554064E1,1.005984068E1,-1.000000000E0
9.532990205E1,3.514074892E1,1.368868124E2,1.887775006E0,4.049866128E1,5.108344441E1,1.885162711E2,3.553746162E0,1.424667366E1,1.007239410E1,-1.000000000E0
9.632990170E1,3.514027800E1,1.368867097E2,1.616390005E0,4.022698356E1,5.180161796E1,1.893033246E2,3.605795564E0,1.425763051E1,1.005687852E1,-1.000000000E0
9.732990134E1,3.513981305E1,1.368866435E2,2.328130965E0,4.093851887E1,5.214777194E1,1.883609250E2,3.661485090E0,1.427085764E1,1.003810020E1,-1.000000000E0
9.832990205E1,3.513931809E1,1.368865500E2,1.974734034E0,4.058484899E1,5.310522131E1,1.883384247E2,3.716315009E0,1.426897747E1,1.004077264E1,-1.000000000E0
9.932990336E1,3.513883051E1,1.368864601E2,1.960168649E0,4.057001984E1,5.362633227E1,1.882907727E2,3.772372741E0,1.428472507E1,1.001835630E1,-1.000000000E0
1.003299015E2,3.513833341E1,1.368863574E2,2.026041098E0,4.063559777E1,5.419707362E1,1.889087132E2,3.825382928E0,1.428880905E1,1.001253061E1,-1.000000000E0
1.013299021E2,3.513786211E1,1.368862697E2,2.311494356E0,4.092079471E1,5.395101650E1,1.889045138E2,3.879443147E0,1.433230370E1,9.950171056E0,-1.000000000E0
1.023299026E2,3.513738218E1,1.368861747E2,2.600275524E0,4.120930166E1,5.399200496E1,1.890667417E2,3.932855332E0,1.437357379E1,9.890460543E0,-1.000000000E0
1.033299021E2,3.513690673E1,1.368860910E2,2.437742906E0,4.104652241E1,5.384833499E1,1.886909020E2,3.986848848E0,1.435953735E1,9.910828436E0,-1.000000000E0
1.043299022E2,3.513642556E1,1.368860112E2,2.960910778E0,4.156945230E1,5.387860661E1,1.883528166E2,4.039986496E0,1.439460743E1,9.859823040E0,-1.000000000E0
1.053299025E2,3.513595351E1,1.368859202E2,2.575021829E0,4.118330018E1,5.380206840E1,1.884635358E2,4.158971323E0,1.434356048E1,9.933937086E0,-1.000000000E0
1.063299024E2,3.513701659E1,1.368860694E2,-4.191074355E0,3.441766522E1,0.000000000E0,NaN,4.248597137E0,1.636310951E1,6.055533045E0,-1.000000000E0
1.073299036E2,3.513621960E1,1.368859222E2,-7.607240174E-1,3.784758620E1,5.472999954E1,1.880858889E2,4.321992578E0,1.638903331E1,5.985016329E0,-1.000000000E0
1.083299040E2,3.513687108E1,1.368860519E2,-3.476535779E0,3.513214766E1,0.000000000E0,NaN,4.414413976E0,1.624019516E1,6.377844040E0,-1.000000000E0
1.093505753E2,3.513604803E1,1.368859102E2,-1.931429503E0,3.667683490E1,5.472999954E1,1.866796465E2,4.846045282E0,1.640600420E1,5.938338116E0,-1.000000000E0
1.153299038E2,3.513216758E1,1.368857876E2,-6.390354156E0,3.221722536E1,6.368000031E1,1.775390625E2,4.909869039E0,1.559337004E1,6.000000000E0,-1.000000000E0
1.163299042E2,3.513159412E1,1.368858176E2,-6.390035170E0,3.221755643E1,6.368000030E1,1.775390798E2,4.992002883E0,1.612187495E1,6.671280337E0,-1.000000000E0
1.173299049E2,3.513085567E1,1.368858385E2,-7.268365941E0,3.133919947E1,6.623999786E1,1.775390805E2,5.068018510E0,1.623323569E1,6.395536918E0,-1.000000000E0
1.183299049E2,3.513017242E1,1.368858661E2,-9.363702857E0,2.924385777E1,6.623999786E1,1.775390805E2,5.129224082E0,1.651758135E1,6.031737481E0,-1.000000000E0
1.193299052E2,3.512963772E1,1.368860259E2,-1.062584887E1,2.798203185E1,6.623999786E1,1.736719211E2,5.187647309E0,1.647057291E1,6.050326269E0,-1.000000000E0
1.203299047E2,3.512913212E1,1.368862007E2,-1.088042508E1,2.772781333E1,6.025000000E1,1.705078752E2,5.258401166E0,1.654870025E1,6.019434512E0,-1.000000000E0
1.213299055E2,3.512851425E1,1.368863866E2,-1.140336061E1,2.720524957E1,6.168000030E1,1.683985158E2,5.318450367E0,1.656791049E1,6.011813054E0,-1.000000000E0
1.223299060E2,3.512799230E1,1.368865560E2,-1.227880159E1,2.633015118E1,6.025000000E1,1.662891527E2,5.390694959E0,1.643608244E1,6.063955584E0,-1.000000000E0
