種類,メーカー,シリーズ,記号,シリーズ,容量（GB）,型番,価格,確認日,備考,AmazonのURL,読出速度（MB/s）,書込速度（MB/s）,スピードクラス,接続,幅（mm）,奥行き（mm）,高さ（mm）,重量（g）,保証（年）,ケーブル,品名
type,maker,series,prefix,series,storage,model,price,date,remarks,url,speed_read,speed_write,speed_class,usb,width,depth,height,weight,warranty,cable,name
HDD,Western Digital,,WD,,4000,WD4005FZBX,19449,2020-05-07,,https://www.amazon.co.jp/dp/B0792G331G,,,,,,,,,,,WD Black
SSD,Western Digital,My Passport Go,WD,BMCG,500,WDBMCG5000ABT-WESN,8060,2020-05-07,,https://www.amazon.co.jp/dp/B07MVWJZVS,400,400,,USB3.2 (gen1),67,95,10,55,3,USB-A,My Passport for Go
SSD,Western Digital,My Passport Go,WD,BMCG,1000,WDBMCG0010BBT-WESN,14947,2020-05-07,,https://www.amazon.co.jp/dp/B07MW159XC,400,400,,USB3.2 (gen1),67,95,10,55,3,USB-A,My Passport for Go
SSD,Western Digital,My Passport Go,WD,BMCG,2000,WDBMCG0020BBT-WESN,25050,2020-05-07,,https://www.amazon.co.jp/dp/B07VB4BJRN,400,400,,USB3.2 (gen1),67,95,10,55,3,USB-A,My Passport for Go
HDD,アイオーデータ,,IO,HDPH-UT,5000,HDPH-UT5DKR/E,22347,2020-05-07,,https://www.amazon.co.jp/dp/B07L98R23H,,,,USB3.1 (gen1),76,114,20,231,,,
HDD,アイオーデータ,,IO,HDPH-UT,4000,HDPH-UT4DKR/E,15800,2020-05-07,,https://www.amazon.co.jp/dp/B07L953JLR,,,,USB3.1 (gen1),76,114,20,231,,,
HDD,アイオーデータ,,IO,HDPH-UT,3000,HDPH-UT3DKR/E,14960,2020-05-07,,https://www.amazon.co.jp/dp/B07L97DX1G,,,,USB3.1 (gen1),76,114,20,231,,,
HDD,アイオーデータ,,IO,HDPH-UT,2000,HDPH-UT2DKR/E,9045,2020-05-07,,https://www.amazon.co.jp/dp/B07L992ZFX,,,,USB3.1 (gen1),76,114,20,231,,,
HDD,アイオーデータ,,IO,HDPH-UT,1000,HDPH-UT1KR/E,7143,2020-05-07,,https://www.amazon.co.jp/dp/B07L97RGR8,,,,USB3.1 (gen1),76,114,20,159,,,
HDD,アイオーデータ,,IO,HDPH-UT,500,HDPH-UT500KR/E,5998,2020-05-07,,https://www.amazon.co.jp/dp/B07L98KJQX,,,,USB3.1 (gen1),76,114,20,159,,,
